initial_velocity,launch_angle,landing_distance
21.854305348131312,76.55000144869413,16.48491845403207
37.93972738151323,51.90609389379256,72.91913985336699
12.020838819909644,20.919616423534187,9.256703262477574
7.613762547568976,70.63233020424546,3.5420226089820313
32.0501755284444,59.56508044572318,53.24623305267374
5.92630224331111,77.8936896513396,1.4306009639276314
42.45991883601898,24.86373774747933,79.23661647767888
13.182123524319527,22.83831568974037,11.745538554642316
18.690900933179197,46.73295021425665,28.5321615200835
24.43752583889521,30.386039813862933,40.21459444433811
32.53338026250708,19.76457024564293,49.28521657863412
18.146509184084817,35.645329030558415,26.439805014105712
25.523149289766618,64.96231729751095,34.66843848386579
13.985320197126189,45.996410688952814,17.482254670634305
31.65865559879191,13.25152889039984,36.07520977283361
32.339518335564726,21.936688658110405,51.89178458688708
7.927321684337578,76.42198760773333,2.7937930535887308
48.45344148835517,66.58781436815228,69.02698896397567
18.70761961280168,16.83704798044687,17.670625405428
35.79048619304706,40.81067456177209,72.58339073854893
10.491720568015047,44.66238370778891,10.398433473011098
6.547483450184828,73.65242814551475,2.2867722462249733
16.645099172000762,56.37655990477874,21.582689214495954
19.026998424023493,46.40476148244676,29.39408284471735
29.601962570447583,22.93981188678689,46.724367524157046
48.63130824940514,64.25929763527802,74.26075340637797
47.27745237038851,72.63791452993541,53.04683701847136
31.905499046498832,74.53119645161817,31.46248948452738
8.982162592336378,23.718800369340165,5.832273661492305
7.035228000974213,32.7731231534285,4.45707882461089
22.49047803602669,28.994432224172712,34.54679609483488
42.29318791183682,34.97273286855125,87.10330510061235
17.642052935932135,47.988725821077395,25.81152352905597
11.341590123864318,66.15378865278278,8.83427548403688
8.354778965589688,79.08208556203621,2.51927314206276
39.751014618349586,23.91009770739207,71.77942998359826
5.248495270562108,67.0822999918384,1.9718430618132048
36.80858047314277,61.030501762869115,60.72257538318346
39.70716560086756,15.183125621386324,55.837514465987624
21.130957784492267,18.11083416675908,23.172744644058838
43.83965416440171,53.63086887792905,83.1911773557495
19.890411118369215,14.449084520021653,17.45425149496129
18.9942044772048,32.76283254187229,27.679638827083867
37.83227802521289,54.62902299486492,70.23828983027026
44.924573415934695,43.055044761336454,93.09970267271072
10.381741067223576,59.92713510560965,8.803583736069475
39.23532718776038,49.28940382986474,77.66944542415335
39.69352309795524,44.56569174550735,81.10494337309127
28.522977322189732,39.927871285098476,54.12821155992055
6.143860703484283,17.552399889531312,2.1803773217732614
6.414313355903041,54.54872878846463,3.8420624696595893
19.1460191484347,45.599948381529195,29.768388587816364
45.84049132667418,27.450456040421248,89.90343396973897
23.46723153660334,62.88857969801341,32.51419759645861
15.29591744712301,15.38859368801551,11.359227348952796
18.038815381119562,21.28549010778031,19.746190769513706
46.83639435541579,66.56842656950919,66.94284451734276
33.503169042969056,71.00224131314025,39.774474407128096
41.165243460460154,23.05990412202251,73.80812338430985
45.165154932049,47.75395693409555,91.16219807996316
41.334806982382815,72.72639099464453,46.340671694904614
19.310156373733875,17.703634716937373,19.44295443963427
15.257082314387375,39.89754520383794,20.220166688072723
41.81066446651219,70.25114082794404,52.40716832069192
5.312845873903582,45.7523111804296,2.816040958287854
23.783495141695056,25.54754673295112,35.37269598024146
10.393941530015727,33.63306199825396,9.530181233284846
